item_id,order_id,product_id,quantity,price
1,1,761,5,254.15
2,1,297,3,38.88
3,2,887,2,51.04
4,2,548,5,190.65
5,2,80,5,242.05
6,2,865,2,61.78
7,3,961,2,27.64
8,3,567,2,73.6
9,3,108,4,135.8
10,4,664,3,126.81
11,5,520,4,174.48
12,5,748,5,74.3
13,5,602,4,152.0
14,5,971,1,17.66
15,5,272,1,59.98
16,6,723,2,117.28
17,6,341,4,116.56
18,6,552,2,77.4
19,7,724,5,123.6
20,8,667,2,20.04
21,8,818,3,171.93
22,8,857,2,74.7
23,8,294,4,224.52
24,8,86,5,110.55
25,9,879,5,237.55
26,9,477,2,44.32
27,9,337,1,41.83
28,10,695,4,173.16
29,10,736,2,57.98
30,10,917,1,11.53
31,10,631,5,129.55
32,11,436,4,57.6
33,11,596,5,252.95
34,11,217,2,43.88
35,12,52,5,195.05
36,12,693,2,26.68
37,12,298,1,22.08
38,12,278,3,157.53
39,13,167,4,216.84
40,13,382,3,65.46
41,14,414,5,200.85
42,14,999,5,95.95
43,14,951,5,224.4
44,14,316,3,31.86
45,14,931,1,23.59
46,14,933,2,66.28
47,15,161,2,94.22
48,15,909,1,37.34
49,15,202,5,141.7
50,16,466,3,108.0
51,16,760,4,221.4
52,16,686,1,29.64
53,16,477,5,110.8
54,16,857,3,112.05
55,17,489,5,284.0
56,18,220,4,210.12
57,18,767,5,272.0
58,18,541,2,93.16
59,18,143,5,173.25
60,19,743,2,116.7
61,19,701,3,138.06
62,19,745,4,90.6
63,19,518,3,31.23
64,19,968,2,63.54
65,19,576,3,139.35
66,20,4,3,110.82
67,20,386,2,88.42
68,20,311,5,131.65
69,21,476,3,57.45
70,21,591,2,47.8
71,21,36,5,96.05
72,21,915,3,84.03
73,22,704,2,59.3
74,23,697,2,104.74
75,23,945,3,129.42
76,23,72,5,97.45
77,23,799,1,42.96
78,23,586,3,115.86
79,23,919,5,193.85
80,24,886,2,108.46
81,24,435,4,166.24
82,24,575,5,117.15
83,24,515,5,59.1
84,25,637,1,20.29
85,26,465,4,109.48
86,26,731,4,215.28
87,26,968,3,95.31
88,26,830,5,87.45
89,26,420,5,283.5
90,26,48,1,30.25
91,27,177,5,169.85
92,27,270,5,222.9
93,27,353,4,78.4
94,27,363,4,207.0
95,27,655,3,111.15
96,28,278,1,52.51
97,28,599,4,99.84
98,28,84,5,145.85
